,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales
209,MK Phone Nokia G21 4/64 v20,95,"4,899",365,"39,574",0.1783739412870877,0.921
210,MK Phone Nokia G21 4/64 v2,65,"4,999",365,"28,724",0.08937656747828895,0.964
211,MK Phone Nokia G21 4/64 v19,80,"4,999",365,"34,199",0.15367239646789227,0.937
212,MK Phone Nokia G21 4/64 v18 HRA,95,"4,899",365,"39,574",0.22740623600486437,0.898
213,MK Phone Nokia G21 4/64 v17 HRA,80,"4,999",365,"34,199",0.2016273884375918,0.912
214,MK Phone Nokia G21 4/64 v16 HRA,80,"5,599",365,"34,799",0.21915166683078846,0.893
215,MK Phone Nokia G21 4/64 v15 HRA,70,"9,249",365,"34,799",0.09129800551613541,0.981
216,MK Phone Nokia G21 4/64 v15,80,"5,599",365,"34,799",0.1392211178003625,0.943
217,MK Phone Nokia G21 4/64 v13,85,"5,699",365,"36,724",0.1381125942865694,0.946
218,MK Phone Nokia G21 4/64 v11,90,"5,999",365,"38,849",0.13571920984741767,0.942
219,MK Phone Nokia G21 4/64 v10,90,"5,999",365,"38,849",0.12196591439685003,0.950
220,MK Phone Nokia G21 4/64 Insurance Pilot v1,95,"4,899",365,"39,574",0.1600437980205429,0.943
221,MK Phone Nokia G21 4/64 HMD v8,70,"4,499",365,"30,049",0.08309643409831484,0.965
222,MK Phone Nokia G21 4/64 HMD v5,65,"4,999",365,"28,724",0.05861596838868051,0.973
223,MK Phone Nokia G21 4/64 HMD v20 HRA,95,"4,899",365,"39,574",0.3021268493508192,0.813
224,MK Phone Nokia G21 4/64 HMD v20,95,"4,899",365,"39,574",0.21391652629069358,0.861
225,MK Phone Nokia G21 4/64 HMD v19 HRA,80,"4,999",365,"34,199",0.2268390177832359,0.857
226,MK Phone Nokia G21 4/64 HMD v19,80,"4,999",365,"34,199",0.14907192375442335,0.911
227,MK Phone Nokia G21 4/64 HMD v17 HRA,80,"5,599",365,"34,799",0.6989158140545975,0.830
228,MK Phone Nokia G21 4/64 HMD v16,80,"5,599",365,"34,799",0.09928597743200053,0.966
229,MK Phone Nokia G21 4/64 HMD v14,85,"5,699",365,"36,724",0.14445233790109444,0.963
230,MK Phone Nokia G21 4/64 HMD v11,90,"5,999",365,"38,849",0.12241197407901276,0.942
231,MK Phone Nokia G20 4/64 v3,70,"4,999",365,"30,549",0.1094794833014281,0.954
232,MK Phone Nokia G20 4/64 Saf-Data v4,70,"4,999",365,"30,549",0.10347778459546156,0.963
233,MK Phone Nokia G20 4/64 Saf-Data HMD,70,"4,999",365,"30,549",0.10078634021643339,0.968
234,MK Phone Nokia G10 3/32 v8,65,"4,999",365,"28,724",0.14243175456438845,0.938
235,MK Phone Nokia G10 3/32 v2,55,"3,999",365,"24,074",0.17401787019235618,0.960
236,MK Phone Nokia G10 3/32 v13,60,"3,699",365,"25,599",0.1475957470261647,0.882
237,MK Phone Nokia G10 3/32 v12,60,"3,699",365,"25,599",0.13915094818411827,0.933
238,MK Phone Nokia G10 3/32 Saf-Data v3,55,"3,999",365,"24,074",0.12186455786029564,0.947
239,MK Phone Nokia G10 3/32 Saf HMD v9,65,"4,999",365,"28,724",0.21567315765018577,0.937
240,MK Phone Nokia G10 3/32 HMD v4,55,"4,299",365,"24,374",0.1084769815182549,0.956
241,MK Phone Nokia G10 3/32 HMD v13,60,"3,699",365,"25,599",0.1398552850725348,0.940
242,MK Phone Nokia C31 4/64 v9 HMD,80,"3,699",365,"32,899",0.19951417108573163,0.890
243,MK Phone Nokia C31 4/64 v8 HRA,80,"3,699",365,"32,899",0.20006666344287533,0.943
244,MK Phone Nokia C31 4/64 v8,80,"3,699",365,"32,899",0.16631929360660605,0.957
245,MK Phone Nokia C31 4/64 v7 HMD,85,"3,999",365,"35,024",0.03658850517791035,1.000
246,MK Phone Nokia C31 4/64 v6 HRA,80,"3,699",365,"32,899",0.2169129478872609,0.913
247,MK Phone Nokia C31 4/64 v6 HMD,90,"4,099",365,"36,949",0.14728625769399234,0.931
248,MK Phone Nokia C31 4/64 v6,80,"3,699",365,"32,899",0.17853631560953706,0.924
249,MK Phone Nokia C31 4/64 v5 HRA,80,"3,499",365,"32,699",0.22237209901556726,0.892
250,MK Phone Nokia C31 4/64 v5 HMD,70,"4,299",365,"29,849",0.09050436366708581,0.945
251,MK Phone Nokia C31 4/64 v5,80,"3,499",365,"32,699",0.17926943736242304,0.913
252,MK Phone Nokia C31 4/64 v4 HRA,85,"3,999",365,"35,024",0.2248888998588456,0.879
253,MK Phone Nokia C31 4/64 v4,85,"3,999",365,"35,024",0.18108442688960646,0.902
254,MK Phone Nokia C31 4/64 v3 HRA,90,"4,099",365,"36,949",0.2598603172844562,0.859
255,MK Phone Nokia C31 4/64 v3,90,"4,099",365,"36,949",0.19100814385450665,0.901
256,MK Phone Nokia C31 4/64 v2 HRA,70,"4,299",365,"29,849",0.17730994702642194,0.915
257,MK Phone Nokia C31 4/64 v11 HMD,80,"3,699",365,"32,899",0.09370557424470768,0.997
258,MK Phone Nokia C31 4/64 v1 HRA,60,"7,949",365,"29,849",0.07258681006608869,0.998
259,MK Phone Nokia C31 4/64 v1,70,"4,299",365,"29,849",0.14246836339312144,0.934
260,MK Phone Nokia C31 4/64 Insurance Pilot v4,80,"3,699",365,"32,899",0.1532100489412226,0.962
261,MK Phone Nokia C31 4/64 Insurance Pilot v2,80,"3,699",365,"32,899",0.16146294330607475,0.940
262,MK Phone Nokia C31 4/64 Insurance Pilot v1,80,"3,499",365,"32,699",0.15343187530650954,0.948
263,MK Phone Nokia C31 4/64 DS v7 ST Pilot,90,"4,099",365,"36,949",0.1638115241349051,0.933
264,MK Phone Nokia C30 2/32 v9,75,"5,499",365,"32,874",0.12206492477061376,0.936
265,MK Phone Nokia C30 2/32 v8,60,"3,999",365,"25,899",0.10960723947609272,0.940
266,MK Phone Nokia C30 2/32 v16 HRA,65,"4,299",365,"28,024",0.18815416672069787,0.907
267,MK Phone Nokia C30 2/32 v15 HRA,60,"6,124",365,"28,024",0.2985327641361047,0.792
268,MK Phone Nokia C30 2/32 v15,65,"4,299",365,"28,024",0.13825431398322965,0.933
269,MK Phone Nokia C30 2/32 v13,70,"4,699",365,"30,249",0.1325465201041201,0.942
270,MK Phone Nokia C30 2/32 v12 HMD,70,"4,999",365,"30,549",0.04029953891427039,0.986
271,MK Phone Nokia C30 2/32 v12,70,"4,999",365,"30,549",0.12542017129784064,0.941
272,MK Phone Nokia C30 2/32 v10,75,"5,499",365,"32,874",0.12233645394149506,0.937
273,MK Phone Nokia C30 2/32 v1,60,"2,999",365,"24,899",0.1421922276084513,0.930
274,MK Phone Nokia C30 2/32 HMD v7,55,"4,299",365,"24,374",0.11168865024310726,0.940
275,MK Phone Nokia C30 2/32 HMD v5,55,"3,999",365,"24,074",0.09653126571149907,0.967
276,MK Phone Nokia C30 2/32 HMD v2,60,"2,999",365,"24,899",0.14656689881874624,0.939
277,MK Phone Nokia C30 2/32 HMD v17 HRA,65,"4,299",365,"28,024",0.28427922432426694,0.830
278,MK Phone Nokia C30 2/32 HMD v16,65,"4,299",365,"28,024",0.07296338929694661,0.959
279,MK Phone Nokia C30 2/32 HMD v14,70,"4,699",365,"30,249",0.10756624173940774,0.982
280,MK Phone Nokia C30 2/32 HMD v10,75,"5,499",365,"32,874",0.0953671561660597,0.966
281,MK Phone Nokia C22 2/64 v2 HRA,65,"3,199",365,"26,924",0.17971900157023474,0.962
282,MK Phone Nokia C22 2/64 v2,65,"3,199",365,"26,924",0.1591163848217268,0.965
283,MK Phone Nokia C22 2/64 v1 HRA,65,"3,199",365,"26,924",0.17006143009813132,0.959
284,MK Phone Nokia C22 2/64 v1,65,"3,199",365,"26,924",0.15848856817631068,0.952
285,MK Phone Nokia C22 2/64 Insurance Pilot v2,65,"3,199",365,"26,924",0.14238376888307314,0.971
286,MK Phone Nokia C22 2/64 Insurance Pilot V1,65,"3,199",365,"26,924",0.14025326690862364,0.968
287,MK Phone Nokia C21 Plus 3/32 v6,70,"5,299",365,"30,849",0.11746556585398528,0.943
288,MK Phone Nokia C21 Plus 3/32 v3,70,"5,299",365,"30,849",0.11595393115139097,0.940
289,MK Phone Nokia C21 Plus 3/32 v2,55,"4,699",365,"24,774",0.09110620878008957,0.954
290,MK Phone Nokia C21 Plus 3/32 v12 HRA,60,"3,999",365,"25,899",0.17171322218483892,0.915
291,MK Phone Nokia C21 Plus 3/32 v11 HRA,55,"5,824",365,"25,899",0.0486870557696064,0.979
292,MK Phone Nokia C21 Plus 3/32 v11 HMD,65,"4,499",365,"28,224",0.11742950751628568,0.965
293,MK Phone Nokia C21 Plus 3/32 v11,60,"3,999",365,"25,899",0.13167256570248378,0.935
294,MK Phone Nokia C21 Plus 3/32 v10,65,"4,499",365,"28,224",0.13428087233903002,0.938
295,MK Phone Nokia C21 Plus 3/32 HMD v4,70,"5,299",365,"30,849",0.11043059996448802,0.939
296,MK Phone Nokia C21 Plus 3/32 HMD v13 HRA,60,"3,999",365,"25,899",0.10089616336374672,0.949
297,MK Phone Nokia C21 Plus 3/32 HMD v12,60,"3,999",365,"25,899",0.14731321420338772,0.934
298,MK Phone Nokia C21 2/32 v9,60,"4,299",365,"26,199",0.14985795270305488,0.921
299,MK Phone Nokia C21 2/32 v7,60,"4,299",365,"26,199",0.13168659271164826,0.925
300,MK Phone Nokia C21 2/32 v2,50,"3,999",365,"22,249",0.11115343259375463,0.936
301,MK Phone Nokia C21 2/32 v11 HRA,50,"3,399",365,"21,649",0.17335329270241695,0.871
302,MK Phone Nokia C21 2/32 v10 HRA,45,"5,224",365,"21,649",0.06264842802620751,0.875
303,MK Phone Nokia C21 2/32 v10,50,"3,399",365,"21,649",0.1555120550731287,0.917
304,MK Phone Nokia C21 2/32 HMD v6,60,"4,299",365,"26,199",0.15069147316912432,0.933
305,MK Phone Nokia C21 2/32 HMD v12 HRA,50,"3,399",365,"21,649",0.209743564011843,0.872
306,MK Phone Nokia C21 2/32 HMD v11,50,"3,399",365,"21,649",0.18799746626207392,0.912
307,MK Phone Nokia C20 2/16 v7,45,"3,299",365,"19,724",0.12452587498532366,0.928
308,MK Phone Nokia C20 2/16 v2,45,"2,999",365,"19,424",0.12593135861846932,0.935
309,MK Phone Nokia C20 2/16 HMD v6,45,"3,999",365,"20,424",0.11129689171803364,0.959
310,MK Phone Nokia C20 2/16 HMD v5,45,"3,299",365,"19,724",0.12373556726914843,0.957
311,MK Phone Nokia C20 2/16 HMD v3,45,"2,999",365,"19,424",0.1412468151489907,0.952
312,MK Phone Nokia C10 1/32 v3,40,"3,299",365,"17,899",0.13967154617782726,0.945
313,MK Phone Nokia C1 Plus v2,35,"2,499",365,"15,274",0.1570198697771549,0.949
314,MK Phone Nokia C1 Plus Saf-Data v1,35,"2,499",365,"15,274",0.12716504556304023,0.946
315,MK Phone Nokia C1 2nd Edition v2,35,"2,499",365,"15,274",0.014169263860894897,0.967
316,MK Phone Nokia C01 Plus Iris v4,40,"3,499",365,"18,099",0.11910583445861438,0.925
317,MK Phone Nokia C01 Plus Iris v1,40,"2,499",365,"17,099",0.14888497111106386,0.923
318,MK Phone Nokia C01 Plus Iris HMD v5,40,"3,499",365,"18,099",0.1524563363495652,0.941
319,MK Phone Nokia C01 Plus Iris HMD,40,"2,499",365,"17,099",0.1662413774036137,0.905
320,MK Phone Nokia C01 Plus Iris 2/16 v8,40,"3,299",365,"17,899",0.1358629577170599,0.898
321,MK Phone Nokia C01 Plus Iris 2/16 v6,40,"3,499",365,"18,099",0.122129304534619,0.920
322,MK Phone Nokia C01 Plus HMD 1/16 v8,40,"2,499",365,"17,099",0.1741078944448093,0.937
323,MK Phone Nokia C01 Plus 1/16 v9,40,"2,499",365,"17,099",0.1641490026885128,0.911
324,MK Phone Nokia C01 Plus 1/16 v7,40,"2,499",365,"17,099",0.16643488444801532,0.915
325,MK Phone Nokia C01 Plus 1/16 v1,40,"3,299",365,"17,899",0.11746743142726596,0.927
326,MK Phone Nokia C01 Plus 1/16 HMD v2 ,40,"3,299",365,"17,899",0.1637580210050022,0.938
327,MK Phone Nokia 5.4 v2,85,"5,499",365,"36,524",0.1361347247304569,0.968
328,MK Phone Nokia 5.4 4/128 v3,85,"5,499",365,"36,524",0.1111365494221353,0.956
329,MK Phone Nokia 5.4 4/128 Saf-Data v4,85,"5,499",365,"36,524",0.1034618178318242,0.960
330,MK Phone Nokia 5.4 4/128 Saf-Data HMD,85,"5,499",365,"36,524",0.11852207516552431,0.960
331,MK Phone Nokia 3.4 4+64 Saf-Data v1,65,"4,999",365,"28,724",0.09331929028157632,0.962
332,MK Phone Nokia 3.4 4+64 Saf-Data HMD v2,60,"4,499",365,"26,399",0.08517800178586003,0.968
333,MK Phone Nokia 3.4 4+64 Saf-Data HMD,65,"4,999",365,"28,724",0.12575311945386142,0.974
334,MK Phone Nokia 3.4 3+64 Saf-Data v2,60,"4,499",365,"26,399",0.09360008658479087,0.954
335,MK Phone Nokia 3.4 3+64 Saf-Data v1,60,"4,999",365,"26,899",0.05557021039656837,0.951
336,MK Phone Nokia 3.4 (4+64GB) v4,65,"4,999",365,"28,724",0.09891891291720864,0.963
337,MK Phone Nokia 2.4 v2,50,"3,499",365,"21,749",0.11350673525391905,0.960
338,MK Phone Nokia 2.4 Saf-Data v1,50,"3,499",365,"21,749",0.18192055001906032,0.922
339,MK Phone Nokia 2.3 v2,50,"3,999",365,"22,249",0.16692323250483168,0.980
340,MK Phone Nokia 2 2 v2 Rev B,50,"1,999",180,"10,999",0.17378592859091083,0.904
341,MK Phone Nokia 2 2 v1 Rev A,50,"2,999",200,"12,999",0.0886585681416053,0.920
342,MK Phone Nokia 1.4 Saf-Data HMD v2,50,"3,499",365,"21,749",0.12111556378165995,0.953
343,MK Phone Nokia 1.4  v2,45,"3,299",365,"19,724",0.1428895098071989,0.941
344,MK Phone Nokia 1.4  Saf-Data v9,50,"3,499",365,"21,749",0.12478635758984867,0.942
345,MK Phone Nokia 1.4  Saf-Data v1,45,"3,299",365,"19,724",0.1245494331269343,0.948
346,MK Phone Nokia 1.4  Saf-Data HMD,45,"3,299",365,"19,724",0.14308993565942071,0.961
347,MK Phone Nokia (G10 3/32) Saf -Data HMD,55,"3,999",365,"24,074",0.10723742222678993,0.907
348,MK Phone  ST Pilot Samsung A04 3/32 v2,65,"4,399",365,"28,124",0.10488378251954635,0.966
349,MK Motorbike Roam Staff v1,10,100,365,"3,750",0.0033337826789593406,0.333
350,MK Motorbike Roam Air 24M B2C v3,550,"25,000",730,"426,500",0.2093879584764621,1.000
351,MK Motorbike Roam Air 24M B2B v3,530,"15,000",730,"401,900",0.20421766885294276,1.000
352,MK Motorbike Roam Air 18M v5 Pilot,680,"15,000",550,"389,000",0.1132802232766007,0.979
353,MK Motorbike Roam Air 18M B2C v2,700,"25,000",550,"410,000",0.17439536121749477,0.999
354,MK Motorbike Roam Air 18M B2C,700,"25,000",550,"410,000",0.1620245138490437,0.969
355,MK Motorbike Roam Air 18M B2B	v2,680,"15,000",550,"389,000",0.19875792136817605,0.937
356,MK Motorbike Roam Air 12M B2B v4,980,"15,000",365,"372,700",0.1495877309591912,1.000
357,MK Motorbike Honda ACE 125Tuff 16M v11,450,"14,999",480,"230,999",0.2923241889222496,0.839
358,MK Motorbike Honda ACE 125Tuff 12M v10,540,"14,999",365,"212,099",0.08180109239066095,0.930
359,MK Motorbike Honda ACE 125 CB Grade D v1 Cash,1,"24,587",1,"24,588",0.00002033512282414,0.255
360,MK Motorbike Honda ACE 125 CB Grade C v1 Cash,1,"49,175",1,"49,176",0.00001016756141207,0.255
361,MK Motorbike Honda ACE 125 CB 16M v2,450,"14,999",480,"230,999",0.24446478605785754,0.851
362,MK Motorbike Honda ACE 125 CB 12M v1,540,"14,999",365,"212,099",0.09816609991472916,0.906
363,MK Motorbike Honda ACE 110 v1,385,"18,999",470,"199,949",0.36276145182563213,0.947
364,MK Motorbike Ampersand Staff v1,10,100,365,"3,750",0.005919512695961194,0.231
365,MK Motorbike Ampersand GO 18M v3,480,"14,999",550,"278,999",0.16539612652694038,0.894
366,MK Motorbike Ampersand GO 18M v4,480,"20,000",550,"284,000",0.07145558329382193,0.934
367,MK Motorbike Ampersand GO 18M Grade D v1,360,"15,000",550,"213,000",0.0368852420983633,0.981
368,MK Motorbike Ampersand GO 18M Grade A v1,450,"15,000",550,"262,500",0.08257929558294014,0.971
369,MK Motorbike Ampersand GO 18M B2C v2,450,"20,000",550,"267,500",0.26548430142783463,0.887
370,MK Motorbike Ampersand GO 18M B2C,450,"20,000",550,"267,500",0.14656051780976043,1.000
371,MK Motorbike Ampersand GO 18M B2B v2,430,"10,000",550,"246,500",0.10895942433702643,1.000
372,MK Motorbike Ampersand GO 18M  Grade C v1,390,"15,000",550,"229,500",0.09408367880750877,0.913
373,MK Motorbike Ampersand GO 18M  Grade B v1,420,"15,000",550,"246,000",0.10173124315245424,0.981
374,MK Motorbike Ampersand GO 12M v2,620,"14,999",365,"241,299",0.005209083224517519,0.959
375,MK Fridge v21 100L,130,"7,999",700,"98,999",0.4346786387201168,0.824
376,MK Farmer Phone Samsung A03 Single v4,40,"2,499",365,"17,099",0.14402775116915487,0.938
377,MK Farmer Phone Samsung A03 Saf-Data v5,40,"2,499",365,"17,099",0.14066083395107393,0.923
378,"MK 60K (80W Panel) 32""TV & Fridge v4",250,"14,999",700,"189,999",0.39650923143795025,0.792
379,"MK 60K (2*80W Panel) 32""TV & Fridge v2",250,"14,999",700,"189,999",0.402448312270626,0.736
380,"MK 60K (160W Panel) 32""TV & Fridge v3",250,"14,999",700,"189,999",0.45798888236396984,0.690
381,"MK 6000 KP 32"" TV  v1",145,"8,499",620,"98,399",0.34002298381085627,0.865
382,"MK 6000 32"" TV Zuku v12",170,"9,999",600,"111,999",0.3222613372029469,0.872
383,"MK 6000 32"" TV Zuku v11",165,"9,999",600,"108,999",0.24583728224667006,0.893
384,"MK 6000 32"" TV v23 HRA",130,"6,999",840,"116,199",0.36132903409495093,0.829
385,"MK 6000 32"" TV v22 HRA",130,"7,999",840,"117,199",0.4918983547452672,0.724
386,"MK 6000 32"" TV v22",130,"6,999",840,"116,199",0.33645907484709425,0.818
387,"MK 6000 32"" TV v21",130,"6,999",780,"108,399",0.3594768623188944,0.817
388,"MK 6000 32"" TV v20",135,"7,999",600,"88,999",0.31988703912145783,0.806
389,"MK 6000 32"" TV v18 LD",140,"7,999",600,"91,999",0.300355733467842,0.845
390,"MK 6000 32"" TV v17 LD",135,"7,999",600,"88,999",0.27070964682668214,0.865
391,"MK 6000 32"" TV v16 HD",135,"10,499",500,"77,999",0.15684703565217809,0.959
392,"MK 6000 32"" TV v15 LD",135,"8,499",600,"89,499",0.44890190754231624,0.552
393,"MK 6000 32"" TV v14 LD",135,"8,999",600,"89,999",0.0843415890042073,0.977
394,"MK 6000 32"" TV v12 LD",135,"8,499",600,"89,499",0.06511916860723013,0.926
395,"MK 6000 32"" TV (BB) v2 HRA",145,"7,499",840,"129,299",0.4553768627138338,0.773
396,"MK 6000 32"" TV (BB) v1 HRA",145,"8,499",840,"130,299",0.5563725470572523,0.817
397,"MK 6000 32"" TV (BB) v1",145,"7,499",840,"129,299",0.3717336451301505,0.768
398,"MK 6000 32"" TV  v19",145,"8,499",600,"95,499",0.31677670184043666,0.782
399,"MK 6000 (32""Backup TV) v9",130,"7,499",600,"85,499",0.3659301098210635,0.782
400,"MK 6000 (32""Backup TV) v8",115,"6,999",600,"75,999",0.3359020603962587,0.815
401,"MK 6000 (32""Backup TV) v5",125,"6,999",600,"81,999",0.36213493669420904,0.846
402,MK 600 TV 24” TV Micro Biz v4,115,"7,499",600,"76,499",0.4671378851367907,0.776
403,"MK 600 24"" TV Zuku v9",130,"7,999",600,"85,999",0.31173555657167484,0.855
404,"MK 600 24"" TV Zuku v10",140,"7,499",600,"91,499",0.300344795167444,0.890
405,"MK 600 24"" TV v8 LD",100,"5,499",600,"65,499",0.37256248199438546,0.837
406,"MK 600 24"" TV v7 LD Rev B",100,"5,499",600,"65,499",0.4185887341816348,0.884
407,"MK 600 24"" TV v6 LD",100,"5,499",600,"65,499",0.4817056704772282,0.847
408,"MK 600 24"" TV v21 HRA",100,"4,999",700,"74,999",0.33764555744626623,0.830
409,"MK 600 24"" TV v20",100,"4,999",700,"74,999",0.2958254233263548,0.845
410,"MK 600 24"" TV v19",100,"4,999",700,"74,999",0.36800850141988634,0.838
411,"MK 600 24"" TV v18",100,"5,999",760,"81,999",0.3355958662205213,0.816
412,"MK 600 24"" TV v17",100,"5,999",700,"75,999",0.3274710844132169,0.833
413,"MK 600 24"" TV v13",110,"5,499",600,"71,499",0.27641184596165685,0.555
414,"MK 600 24"" TV v12 LD",110,"5,499",600,"71,499",0.3199050407419141,0.863
415,"MK 600 24"" TV v10 LD",100,"5,999",600,"65,999",0.2664153692714847,0.856
416,"MK 600 24"" TV Micro Biz v1",115,"8,499",600,"77,499",0.4522173049579432,0.818
417,"MK 600 24"" TV  v16",100,"6,499",600,"66,499",0.2855100324797695,0.830
418,"MK 600 24"" TV  v15",100,"6,999",600,"66,999",0.2617780001339776,0.830
419,MK 6 v9,50,"1,499",400,"21,499",0.264345489968603,0.816
420,MK 6 v8,50,"2,499",400,"22,499",0.2084073934883897,0.890
421,MK 6 v7,50,"2,999",365,"21,249",0,1.000
422,MK 6 v6,50,"2,499",365,"20,749",0.20370372861733774,0.867
423,MK 6 v10,50,999,460,"23,999",0.3211198032672557,0.786
424,,,,,,0.17794937581573184,
