Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR
MK Phone Nokia C21 2/32 Conv MTN v12,0.1888,1990,0.2211
MK Phone Nokia C21 2/32 Red-Con MTN v12,0.1888,1990,0.199
MK Phone Nokia C30 2/32 Red-Con v9,0.1676,2300,0.235
MK Phone Nokia 2.4 MTN v8,0.1617,2400,0.2727
MK Phone Nokia 2.4 v4,0.1617,2400,0.3497
MK Phone Nokia 2.4 v5,0.1617,2400,0.2932
MK Phone Nokia 2.4 v6,0.1617,2400,0.3837
MK Phone Samsung A03S 3/32 F&F v1,0.1617,2400,0.5298
MK Phone Samsung A10S v11,0.1617,2400,0.2812
MK Phone Nokia G11 Plus 3/64 F&F v1,0.1563,2500,0.4212
MK Phone Samsung A02s v2,0.1563,2500,0.2226
MK Phone Nokia C31 4/64GB Red-Con MTN v1,0.2029,1830,0.1571
MK Phone Samsung A12 Staff v6,0.1824,2100,0.1458
MK Phone Nokia C21 2/32 Conv MTN v8,0.185,2100,0.2242
MK Phone Nokia C21 2/32 Red-Con MTN v8,0.185,2100,0.2283
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v5,0.185,2100,0.1615
MK Phone Nokia C21 2/32 Conv v13,0.1836,2120,0.0346
MK Phone Nokia C21 2/32 Red-Con v13,0.1836,2120,0.205
MK Phone Samsung A12 Staff MTN v1,0.1717,2300,0.0031
MK Phone Samsung A12 MTN v4,0.1462,2800,0.2234
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v15,0.1985,1980,0.165
MK Phone Nokia 3.4 4/64 GB Staff v8,0.1893,2100,0.1522
MK Phone Nokia C30 2/32 Conv MTN v19,0.1893,2100,0.2159
MK Phone Nokia C30 2/32 Red-Con MTN v19,0.1893,2100,0.1854
MK Phone Nokia C21 Plus 3/32 Red-Con v6,0.1857,2150,0.2051
MK Phone Nokia C30 2/32 Red-Con MTN v12,0.1857,2150,0.1849
MK Phone Nokia C21 2/32 Conv v9,0.179,2250,0.6136
MK Phone Nokia C21 2/32 Red-Con v9,0.179,2250,0.2191
MK Phone Samsung A03s 3/32 Red-Con MTN v4,0.164,2500,0.2497
MK Phone Samsung A03s MTN v1,0.164,2500,0.262
MK Phone Samsung A03s MTN v3,0.164,2500,0.2068
MK Phone Nokia 3.4  Red-Con v1,0.1587,2600,0.2194
MK Phone Nokia 3.4 MTN v2,0.1587,2600,0.1978
MK Phone Nokia 3.4 Red-Con MTN v3,0.1587,2600,0.1646
MK Phone Samsung A03s 4/64 MTN v2,0.1537,2700,0.3883
MK Phone Samsung A03s 4/64 MTN v4,0.1537,2700,0.3061
MK Phone Samsung A03s 4/64 Red-Con MTN v5,0.1537,2700,0.2522
MK Phone Samsung A03s 4/64 MTN v6,0.1513,2750,0.1836
MK Phone Samsung A03s 4/64 Red-Con MTN v7,0.1513,2750,0.2584
"StarTimes SAT 24 Months Subscription v9 with TV, CAM & SMART (+TV customers)",0.1127,2600,0.8178
"StarTimes SAT 24 Months Subscription v8 with TV, CAM & SMART",0.1235,3500,0.5423
MK Phone Tecno Pop 5 LTE 2/32 v1,0.2001,2650,0.2184
MK Phone Samsung A03s 3/32 MTN v18,0.1782,2300,0.2282
MK Phone Samsung A03s 3/32 Red-Con MTN v18,0.1782,2300,0.2042
MK Phone Nokia C21 Plus 3/32 Red-Con v16,0.1951,2080,0.1913
MK Phone Nokia C30 2/32 Conv v20,0.1864,2200,0.1516
MK Phone Nokia C30 2/32 Red-Con v20,0.1864,2200,0.1963
MK Phone Samsung A03 3/32 MTN v16,0.1811,2280,0.2098
MK Phone Samsung A03 3/32 Red-Con MTN v16,0.1811,2280,0.1896
MK Phone Samsung A12 MTN v11,0.1503,2850,0.264
MK Phone Samsung A12 Red-Con MTN v11,0.1503,2850,0.2666
MK Phone Samsung A12 Red-Con v10,0.1503,2850,0.2428
MK Phone Nokia C31 4/64GB Red-Con v2,0.2106,1900,0.1466
MK Phone Samsung A03s 3/32 Red-Con v19,0.1759,2400,0.0262
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v13,0.1919,2180,0.1797
MK Phone Nokia C30 2/32 Red-Con v11,0.1838,2300,0.2458
MK Phone Samsung A03 3/32 MTN v11,0.1806,2350,0.3122
MK Phone Samsung A03 3/32 Red-Con MTN v10,0.1806,2350,0.2055
MK Phone Samsung A03 4/64 MTN v9,0.1806,2350,0.2974
MK Phone Samsung A03 4/64 Red-Con MTN v8,0.1806,2350,0.1804
MK Phone Nokia G21 4/64 Red-Con MTN v2,0.1609,2700,0.1675
MK Phone Samsung A12 MTN v9,0.1472,3000,0.2518
MK Phone Nokia C30 2/32 Conv MTN v17,0.1925,2230,0.126
MK Phone Nokia C30 2/32 Red-Con MTN v17,0.1925,2230,0.2024
MK Phone Nokia C21 Plus 3/32 Red-Con MTN v9,0.1813,2400,0.18
MK Phone Samsung A03 3/32 Red-Con v12,0.1753,2500,0.0276
MK Phone Nokia 3.4 v5,0.1549,2900,0.1917
MK Phone Nokia C31 4/64 Red-Con MTN v11,0.2101,2050,0.1557
MK Phone Nokia C21 Plus 3/32 Red-Con v14,0.1916,2300,0.1784
MK Phone Nokia C30 2/32 Conv MTN v13,0.182,2450,0.2042
MK Phone Nokia C30 2/32 Red-Con MTN v13,0.182,2450,0.1995
MK Phone Samsung A03s 3/32 Red-Con MTN v6,0.179,2500,0.2445
MK +Phone Samsung A13 4/64 MTN v7,0.1463,2700,0.4248
MK +Phone Samsung A13 4/64 Red-Con MTN v6,0.1463,2700,0.1471
MK Phone Samsung A03s 4/64 Red-Con MTN v10,0.1655,2750,0.2604
MK Phone Nokia 3.4 v6,0.163,2800,0.178
MK Phone Nokia G21 4/64 Red-Con v3,0.1606,2850,0.189
MK Phone Samsung A12 v2,0.1583,2900,0.0512
MK Phone Samsung A13 4/64 Red-Con MTN v6 Staff,0.1924,2300,0.091
MK Phone Nokia C31 4/64 Red-Con Airtel v13,0.2102,2100,0.1679
MK Phone Nokia C30 2/32 Red-Con v18,0.1928,2340,0.2392
MK Phone Nokia C21 Plus 3/32 Red-Con v10,0.1798,2550,0.2051
MK +Phone Samsung A13 4/64 Red-Con v21 CSTR2,0.1435,2900,0.1519
MK Phone Nokia C31 4/64 Red-Con MTN v5,0.2142,2100,0.1652
MK Phone Samsung A03s 3/32 MTN v16,0.1894,2450,0.2579
MK Phone Samsung A03s 3/32 Red-Con MTN v16,0.1894,2450,0.2356
MK Phone Nokia C30 2/32 Conv v14,0.1805,2600,0.3465
MK Phone Nokia C30 2/32 Red-Con v14,0.1805,2600,0.2081
MK Phone Nokia G21 4/64 Red-Con MTN v6,0.175,2700,0.1638
MK Phone Nokia C31 4/64 Red-Con Airtel v7,0.2143,2150,0.1355
MK Phone Samsung A03 4/64 MTN v16,0.1869,2550,0.2084
MK Phone Samsung A03 4/64 Red-Con MTN v16,0.1869,2550,0.2175
MK Phone Samsung A03s 3/32 MTN v11,0.1812,2650,0.2053
MK Phone Samsung A03s 3/32 Red-Con MTN v10,0.1812,2650,0.2106
MK Phone Nokia C31 4/64 Red-Con v6,0.2112,2200,0.179
MK Phone Samsung A13 4/64 Red-Con MTN F&F v1,0.1738,2800,0.4916
MK Phone Samsung A13 4/64 MTN v3,0.1555,3200,0.2169
MK Phone Samsung A13 4/64 Red-Con MTN v2,0.1555,3200,0.2385
MK Phone Samsung A21 MTN v4,0.1555,3200,0.2109
MK Phone Samsung A03s 3/32 Red-Con MTN v8,0.2069,2300,0.1944
MK Phone Samsung A03 4/64 MTN v11,0.1846,2650,0.1749
MK Phone Samsung A03 4/64 Red-Con MTN v10,0.1846,2650,0.2009
MK Phone Samsung A03s 4/64 MTN v13,0.1846,2650,0.44
MK Phone Samsung A03s 4/64 Red-Con MTN v12,0.1846,2650,0.219
MK Phone Nokia G21 4/64 Red-Con v7,0.1739,2850,0.1341
MK Phone Samsung A22 4/64 Staff MTN v2,0.1771,2800,0.0033
MK Phone Samsung A03s 3/32 Red-Con v12,0.1798,2800,0.2894
MK Phone Samsung A13 4/64 MTN v5,0.1609,3200,0.2216
MK Phone Samsung A13 4/64 Red-Con MTN v4,0.1609,3200,0.2403
MK Phone Samsung A03s 4/64 MTN v22,0.1923,2600,0.2599
MK Phone Samsung A03s 4/64 Red-Con MTN v22,0.1923,2600,0.2368
MK +Phone Samsung A23 4/64 MTN v7,0.1508,3000,0.2497
MK +Phone Samsung A23 4/64 Red-Con MTN v6,0.1508,3000,0.0559
MK Phone Samsung A03s 4/64 MTN v20,0.1863,2800,0.2513
MK Phone Samsung A03s 4/64 Red-Con MTN v20,0.1863,2800,0.2512
MK Phone Samsung A22 4/64 Staff MTN v1,0.2115,2400,0.0034
MK Phone Nokia G21 4/64 Red-Con MTN v21,0.2016,2550,0.1663
MK Phone Samsung A14 4/64 MTN F&F v1,0.2129,2400,0.4507
MK Phone Nokia G21 4/64 Conv MTN v18,0.2012,2600,0.2316
MK Phone Nokia G21 4/64 Red-Con MTN v18,0.2012,2600,0.1066
MK Phone Nokia G21 4/64 Conv MTN v12,0.1842,2900,0.2095
MK Phone Nokia G21 4/64 Red-Con MTN v12,0.1842,2900,0.1835
MK Phone Samsung A03s 4/64 MTN v15,0.1816,2950,0.3456
MK Phone Samsung A03s 4/64 Red-Con MTN v14,0.1816,2950,0.2359
MK Phone Nokia G21 4/64 Red-Con Airtel v23,0.205,2550,0.1269
MK Phone Nokia G21 4/64 Red-Con Airtel v20,0.2045,2600,0.0961
MK Phone Nokia G21 4/64 Conv MTN v8,0.1798,3050,0.1697
MK Phone Nokia G21 4/64 Red-Con MTN v8,0.1798,3050,0.1821
MK Phone Samsung A13 4/64 MTN v9,0.1706,3250,0.21
MK Phone Samsung A13 4/64 Red-Con MTN v8,0.1706,3250,0.2302
MK Phone Samsung A13 4/64 MTN v11,0.1685,3300,0.2411
MK Phone Samsung A13 4/64 Red-Con MTN v10,0.1685,3300,0.2358
MK Phone Samsung A04s 4/64 F&F v1,0.2021,2650,0.343
MK +Phone Samsung A22 LDR v1,0.1649,3400,0.3801
MK Phone Samsung A22 4/64 F&F v1,0.1649,3400,0.5721
MK Phone Samsung A22 4/64 MTN v2,0.1649,3400,0.2105
MK Phone Samsung A22 4/64 MTN v6,0.1572,3600,0.1397
MK Phone Samsung A22 4/64 Red-Con MTN v6,0.1572,3600,0.2664
MK Phone Samsung A22 4/64 Red-Con v5,0.1572,3600,0.1882
MK Phone Samsung A22 4/64 MTN v4,0.1536,3700,0.3022
MK Phone Nokia G21 4/64 Red-Con v19,0.2005,2720,0.0894
MK Phone Nokia G21 4/64 Conv v13,0.1843,3020,0.1892
MK Phone Nokia G21 4/64 Red-Con v13,0.1843,3020,0.2177
MK Phone Nokia G21 4/64 Conv v9,0.1786,3200,0.2794
MK Phone Nokia G21 4/64 Red-Con v9,0.1786,3200,0.2093
MK Phone Samsung A13 4/64 Red-Con v13,0.1679,3450,0.0139
MK Phone Samsung A23 4/64 Red-Con MTN v9 Staff,0.1997,2800,0.0095
MK Phone Samsung A23 4/64 Red-Con MTN F&F v1,0.1718,3500,0.5136
MK Phone Samsung A23 4/64 MTN v3,0.164,3700,0.1757
MK Phone Samsung A23 4/64 Red-Con MTN v2,0.164,3700,0.1812
MK Phone Samsung A04s 4/128 Red-Con MTN v13,0.2084,2800,0.1487
MK Phone Samsung A04s 4/128 Red-Con MTN v8,0.2121,2900,0.17
MK Phone Samsung A04s 4/128 Red-Con MTN v1,0.2065,3000,0.169
MK Phone Nokia X10 6/128 Red-Con MTN v3,0.1578,5650,0.1207
MK Phone Samsung A04s 4/128 Red-Con Airtel v9,0.2122,2950,0.3099
MK Phone Samsung A32 4/128 MTN v4,0.1544,5900,0.4847
MK Phone Samsung A32 4/128 v2,0.1544,5900,0.4123
MK Phone Samsung A23 4/64 Red-Con MTN v10,0.1793,3750,0.1675
MK Phone Nokia X10 6/128 Red-Con v4,0.1566,5900,0.1704
MK Phone Samsung A32 v1 F&F,0.1626,4500,0.0649
MK Phone Nokia X10 6/128 Red-Con MTN v7,0.163,6000,0.1532
MK Phone Nokia X10 6/128 Red-Con v8,0.1638,6150,0.093
MK Phone Samsung A23 4/64 MTN v16,0.1884,4000,0.2032
MK Phone Samsung A23 4/64 Red-Con MTN v16,0.1884,4000,0.1929
MK Phone Samsung A23 4/64 MTN v11,0.1798,4300,0.1773
MK Phone Samsung A23 4/64 Red-Con MTN v12,0.1798,4300,0.1776
MK Fridge v4 100L,0.1025,4700,0.2612
MK Phone Samsung A52 6/128 F&F v1,0.1504,7300,0.0566
MK Phone Samsung A52 6/128 MTN v4,0.149,7300,0.141
MK Phone Samsung A52 6/128 v2,0.149,7300,0.0079
MK Phone Nokia X10 6/128 Conv MTN v15,0.189,5800,0.1859
MK Phone Nokia X10 6/128 Red-Con MTN v15,0.189,5800,0.1484
MK Phone Nokia X10 6/128 Conv MTN v11,0.1798,6250,0.2399
MK Phone Nokia X10 6/128 Red-Con MTN v11,0.1798,6250,0.0827
MK Phone Nokia X10 6/128 Conv v16,0.1879,6000,0.1171
MK Phone Nokia X10 6/128 Red-Con v16,0.1879,6000,0.1779
MK Phone Nokia X10 6/128 Conv v12,0.1802,6400,0.0039
MK Phone Nokia X10 6/128 Red-Con v12,0.1802,6400,0.0174
MK Phone Samsung A33 6/128 Red-Con MTN v2,0.1579,7500,0.1216
MK Phone Samsung A33 6/128 Red-Con MTN v1 F&F,0.1575,5700,0.223
MK Phone Samsung A33 6/128 Red-Con MTN v4,0.171,7350,0.1871
MK Phone Samsung A72 6/128 F&F v1,0.1473,9200,0.7619
MK Phone Samsung A72 6/128 MTN v4,0.1459,9200,0.1566
MK Phone Samsung A72 6/128 v2,0.1459,9200,0.2188
MK Phone Samsung A33 6/128 MTN v6,0.1796,8100,0.1994
MK Phone Samsung A33 6/128 Red-Con MTN v6,0.1796,8100,0.0504
MK Phone Samsung A33 6/128 Red-Con MTN v7,0.1796,8100,0.1167
MK Phone Samsung A53 8/128 MTN v4,0.1649,9000,0.683
MK Phone Samsung A53 8/128 Red-Con MTN v3,0.1649,9000,0.1099
MK Phone Samsung A53 8/128 Red-Con MTN v6,0.1714,9100,0.1279
MK Phone Samsung A53 8/128 MTN v14,0.1897,9450,0.0788
MK Phone Samsung A53 8/128 Red-Con MTN v14,0.1897,9450,0.0122
MK Phone Samsung A53 8/128 MTN v8,0.1809,10100,0.6638
MK Phone Samsung A53 8/128 Red-Con MTN v9,0.1809,10100,0.1724
