Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR,Deposit,Product Price
MK +Phone Nokia 2.4 v9,0.0159,2400,0.3087,14000,878000
MK +Phone Nokia C01 Plus Iris Red-Con v7,0.0307,2000,0.0034,19000,619000
MK +Phone Nokia 2.4 v10,0.0272,2200,0.2872,24000,882000
MK +Phone Samsung A03 Core 2/32 MTN v3,0.0351,2200,0.0025,24000,684000
MK +Phone Samsung A03 3/32 MTN v7,0.0382,2000,0.1753,29000,759000
MK +Phone Samsung A03 3/32 Red-Con MTN v6,0.0382,2000,0.2136,29000,759000
MK Phone Samsung A01 DSR Demo v5,0.0476,2000,0.0545,30000,630000
MK +Phone Nokia C21 2/32 Red-Con MTN v4,0.0507,2000,0.1896,39000,769000
MK +Phone Nokia C21 2/32 Red-Con V5,0.0484,2100,0.4904,39000,805500
MK +Phone Samsung A02 3/64 v1,0.039,2400,0.4186,39000,999000
MK Phone Nokia 1.4 Demo Red-Con v1,0.0556,2000,0.4038,43000,773000
MK +Phone Nokia 2.4 v8,0.0444,2200,0.1341,44000,990000
MK Phone Samsung A03 Core 2/32 Red-Con MTN v7 Demo,0.0809,1400,0.1549,45000,556000
MK Phone Samsung A02 3/64 Demo MTN v1,0.0608,1900,0.7876,45000,740500
MK +Phone Nokia C21 2/32 Red-Con MTN v16,0.0629,2000,0.1966,49000,779000
MK Phone Samsung A02S 3/32GB Demo v5,0.0629,2000,0.2246,49000,779000
MK +Phone Samsung A03 Core 2/32 MTN v22,0.0601,2100,0.0412,49000,815500
MK +Phone Samsung A03 Core 2/32 Red-Con MTN v21,0.0601,2100,0.1799,49000,815500
MK +Phone Samsung A03 4/64 MTN v5,0.053,2500,0.0317,49000,924000
MK +Phone Samsung A03 4/64 Red-Con MTN v6,0.053,2500,0.2472,49000,924000
MK +Phone Nokia 3.4 4/64 v8,0.0419,2800,0.2221,49000,1169000
MK Phone Samsung A03 Core 2/32 Red-Con MTN Demo v10,0.0776,1600,0.2272,49150,633150
MK +Phone Samsung A10S v11,0.0513,2400,0.2225,50000,974000
MK +Phone Samsung A02s v4,0.0494,2500,0.0029,50000,1012500
MK Phone Samsung A03 3/32 Red-Con MTN v4 Demo,0.0773,1700,0.4579,52000,672500
MK +Phone Nokia C21 2/32 Red-Con v17,0.0658,2100,0.1888,54000,820500
MK +Phone Samsung A02 3/64 v2,0.054,2200,0.2044,54000,1000000
MK +Phone Samsung A02S v7,0.054,2200,0.1697,54000,1000000
MK +Phone Samsung A03 Core 2/32 Red-Con v23,0.063,2200,0.1916,54000,857000
MK Phone Samsung A12 Demo v6,0.0559,2500,0.2374,54000,966500
MK Phone Samsung A02 2/32GB Demo v4,0.067,2100,0.0765,55000,821500
MK +Phone Nokia 2.4 v6,0.0562,2200,0.0773,55000,979000
MK Phone Nokia 2.4 Demo v8,0.0778,1850,0.1172,57000,732250
MK +Phone Nokia C31 4/64 Red-Con MTN v8,0.066,2250,0.1526,58000,879250
MK Phone Nokia C1 Plus Red-Con v8,0.0918,1600,0.2915,59000,643000
MK Phone Nokia C1 Plus v7,0.0918,1600,0.2505,59000,643000
MK Phone Samsung A03 4/64 Red-Con MTN v5 Demo,0.0765,1950,0.022,59000,770750
MK +Phone Nokia C30 2/32 Red-Con v4,0.0643,2600,0.1783,59000,917000
MK +Phone Nokia 3.4 4/64 Red-Con v11,0.0525,2800,0.219,59000,1123000
MK +Phone Samsung A02s v5,0.061,2200,0.2327,60000,984000
MK Phone Nokia C1 2nd Edition MTN F&F v1,0.1467,1020,0.3218,64000,436300
MK Phone Samsung A03s 4/64 Red-Con MTN v8 Demo,0.0738,2200,0.0063,64000,867000
MK +Phone Samsung A03 4/64 MTN v7,0.071,2100,0.2931,69000,972000
MK +Phone Samsung A03 4/64 Red-Con MTN v4,0.071,2100,0.2271,69000,972000
MK +Phone Nokia C21 Plus 3/32 Red-Con MTN v17,0.0759,2300,0.3885,69000,908500
MK Phone Samsung A13 4/64 Red-Con MTN v5 Demo,0.0705,2600,0.0173,72000,1021000
MK Phone Nokia C10 1/32 MTN F&F v1,0.1528,1200,0.8108,79000,517000
MK Phone Nokia C1 Plus Red-Con v9,0.1339,1400,0.2154,79000,590000
MK Phone Samsung A03 MTN v5,0.1129,1700,0.2712,79000,699500
MK +Phone Samsung A03 4/64 MTN v19,0.0768,2600,0.2576,79000,1028000
MK +Phone Samsung A03 4/64 Red-Con MTN v18,0.0768,2600,0.2154,79000,1028000
MK +Phone Samsung A12 MTN v9,0.0644,2800,0.1758,79000,1227000
MK +Phone Samsung A12 Red-Con MTN v11,0.0644,2800,0.1912,79000,1227000
MK +Phone Samsung A12 v5,0.0659,2800,0.169,79000,1199000
MK +Phone Nokia G21 4/64 Red-Con Airtel v23,0.0777,2700,0.1074,83000,1068500
MK Nokia C01 Plus Iris Red-Con MTN v12,0.1456,1350,0.2012,84000,576750
MK Nokia C01 Plus Iris Red-Con MTN v14,0.1456,1350,0.2065,84000,576750
MK +Phone Samsung A03 4/64 Red-Con v20,0.0785,2700,0.2425,84000,1069500
MK Phone Samsung A03 Core 2/32 MTN v3,0.1483,1400,0.1662,89000,600000
MK Phone Samsung A03 Core 2/32 Red-Con MTN v3,0.1483,1400,0.1535,89000,600000
MK Phone Samsung A03 Core 2/32 Red-Con v2,0.1483,1400,0.1613,89000,600000
MK Phone Nokia C01 Plus Iris Red-Con v13,0.1398,1500,0.2565,89000,636500
MK Phone Nokia C01 Plus Iris Red-Con v15,0.1398,1500,0.2404,89000,636500
MK Phone Nokia C01 Plus Iris Red-Con MTN v9,0.1359,1550,0.2223,89000,654750
MK Phone Nokia C01 Plus Iris Red-Con v8,0.1359,1550,0.2456,89000,654750
MK Phone Samsung A03 v3,0.1193,1800,0.2343,89000,746000
MK Phone Nokia 1.4 Red-Con v4,0.1087,2000,0.2346,89000,819000
MK Phone Nokia 1.4 v6,0.1087,2000,0.2693,89000,819000
MK +Phone Samsung A03s 4/64 MTN v24,0.0776,2900,0.0492,89000,1147500
MK Phone Samsung A23 4/64 Red-Con MTN v8 Demo,0.0698,3250,0.0235,89000,1275250
MK +Phone Samsung A04s 4/128 Red-Con MTN v10,0.0737,3100,0.1511,90000,1221500
MK Phone Samsung A03 Core 2/32 Red-Con MTN v8 Staff,0.1616,1350,0.0591,95000,587750
MK Phone Samsung A03 MTN v6,0.1531,1500,0.2322,99000,646500
MK Phone Samsung A03 MTN v7,0.1531,1500,0.2544,99000,646500
MK Phone Nokia C20 2/16 Red-Con MTN v3,0.1489,1550,0.2052,99000,664750
MK Phone Nokia C01 Iris 2/16 F&F v1,0.1449,1600,0.167,99000,683000
MK Phone Nokia C01 Plus Iris Red-Con v5,0.1449,1600,0.2222,99000,683000
MK PhoneNokia C01 Plus Iris MTN v6,0.1449,1600,0.2182,99000,683000
MK Phone Nokia C20 2/16 Red-Con MTN v2,0.131,1800,0.2344,99000,756000
MK Phone Nokia C20 2/16 Red-Con v1,0.131,1800,0.2574,99000,756000
MK Phone Nokia C20 2/32 F&F v1,0.1144,2100,0.5006,99000,865500
MK +Phone Nokia 3.4 4/64 Red-Con v10,0.0901,2500,0.1077,99000,1099000
MK +Phone Nokia 3.4 4/64 v9,0.0843,2500,0.2423,99000,1174000
MK Phone Nokia C01 Plus Iris MTN v4,0.1746,2600,0.1045,99000,567000
MK Phone Nokia C01 Plus Iris Red-Con v3,0.1746,2600,0.1647,99000,567000
MK +Phone Nokia G21 4/64 Red-Con MTN v4,0.0883,2800,0.1127,99000,1121000
MK +Phone Nokia G21 4/64 Red-Con v5,0.0855,2900,0.1634,99000,1157500
MK +Phone Samsung A13 4/64 MTN v5,0.0691,3100,0.3465,99000,1432000
MK +Phone Samsung A13 4/64 Red-Con MTN v4,0.0691,3100,0.2076,99000,1432000
MK Phone Samsung A03 Core 2/32 MTN v4,0.1743,1350,0.1259,104000,596750
MK Phone Samsung A03 Core 2/32 Red-Con MTN v5,0.1743,1350,0.146,104000,596750
MK Phone Nokia C01 Plus Iris Conv MTN v16,0.1473,1650,0.225,104000,706250
MK Phone Nokia C20 2/16 Red-Con v4,0.1435,1700,0.2436,104000,724500
MK Phone Nokia C01 Plus Iris Conv v17,0.1494,1700,0.0636,109000,729500
MK Phone Nokia 1.4 MTN v7,0.1423,1800,0.2029,109000,766000
MK Phone Nokia 1.4 Red-Con v6,0.1423,1800,0.2179,109000,766000
MK Phone Nokia C20 2/16 Red-Con MTN v5,0.1723,1500,0.1698,114000,661500
MK +Phone Samsung A04s 4/128 Red-Con MTN v3,0.0847,3200,0.1812,114000,1346000
MK Phone Tecno Pop 6 2/32 F&F,0.1627,1650,0.4925,117000,719250
MK Phone Samsung A03 3/32 Red-Con MTN v5 Staff,0.1681,1600,0.0072,118000,702000
MK Phone Nokia C20 2/16 Red-Con v6,0.165,1650,0.2186,119000,721250
MK Phone Samsung A03 3/32 MTN F&F v1,0.1534,1800,0.1945,119000,776000
MK +Phone Nokia C30 2/32 Red-Con MTN v5,0.1257,2300,0.147,119000,947000
MK +Phone Nokia G21 4/64 Red-Con MTN v14,0.1039,2700,0.2176,119000,1145000
MK +Phone Samsung A13 4/64 Red-Con MTN v16 CSTR 1,0.0851,3200,0.2058,119000,1399000
MK +Phone Samsung A04s 4/128 Red-Con v4,0.0856,3300,0.1732,119000,1389500
MK Phone Samsung A03 Core 2/32 MTN F&F v1,0.1517,1900,0.3727,124000,817500
MK Phone Nokia 1.4 Red-Con MTN v12,0.1422,2050,0.2702,124000,872250
MK Phone Samsung A01 v4,0.1392,2100,0.259,124000,890500
MK Phone Nokia 2.3 v2,0.1338,2200,0.2045,124000,927000
MK +Phone Nokia G21 4/64 Red-Con v15,0.1044,2800,0.1227,124000,1188000
MK +Phone Samsung A13 4/64 Red-Con v18 CSTR1,0.0859,3300,0.1875,124000,1444000
MK Phone Samsung A03 4/64 Red-Con MTN v6 Staff,0.1562,1850,0.0074,125000,800250
MK Phone Nokia C21 2/32 Red-Con F&F v1,0.1809,1600,0.291,129000,713000
MK Phone Samsung A03 Core 2/32 MTN v5,0.1809,1600,0.1598,129000,713000
MK Phone Samsung A03 Core 2/32 Red-Con MTN v6,0.1809,1600,0.1569,129000,713000
MK Phone Samsung A02 2/32 v2,0.1502,2000,0.267,129000,859000
MK Phone Nokia 1.4 Red-Con MTN v11,0.1441,2100,0.2403,129000,895500
MK Phone Nokia 1.4 Red-Con v10,0.1441,2100,0.2813,129000,895500
MK Phone Nokia 2.4 MTN v9,0.1441,2100,0.3043,129000,895500
MK Phone Nokia 1.4 Red-Con v13,0.1384,2200,0.3,129000,932000
MK Phone Nokia C30 2/32 F&F v1,0.1332,2300,0.497,129000,968500
MK +Phone Samsung A12 v6,0.1071,2500,0.175,129000,1204000
MK Phone Samsung A02 2/32GB Staff MTN v1,0.1919,1500,0.0942,130000,677500
MK Phone Infinix Smart 6 Plus 2/32 F&F,0.1666,1850,0.3899,135000,810250
MK Phone Samsung A03 3/32 MTN v1,0.1528,2050,0.1525,135000,883250
MK Phone Samsung A03 3/32 MTN v2,0.1528,2050,0.2127,135000,883250
MK Phone Samsung A03 3/32 Red-Con MTN v1,0.1528,2050,0.2029,135000,883250
MK Phone Samsung A03 3/32 Red-Con MTN v3,0.1528,2050,0.2085,135000,883250
MK +Phone Nokia 3.4 (4+64GB) v6,0.1181,2400,0.1144,135000,1143000
MK +Phone Samsung A12 v4,0.1111,2400,0.1427,135000,1215000
MK Phone Nokia C20 2/16 Red-Con MTN v9,0.1923,1600,0.2649,139000,723000
MK Phone Nokia 1.4 Red-Con MTN v14,0.16,2000,0.2047,139000,869000
MK Phone Nokia C30 2/32 Red-Con MTN v4,0.1476,2200,0.2085,139000,942000
MK Phone Nokia 2.4 v10,0.1448,2250,0.4002,139000,960250
MK +Phone Samsung A23 4/64 Red-Con MTN v4,0.0892,3300,0.0842,139000,1558000
MK Phone Tecno Pop 5 LTE 2/32 v2,0.1777,1800,0.1925,142000,799000
MK Phone Nokia C20 2/16 Red-Con v11,0.184,1750,0.359,144000,782750
MK Phone Nokia C21 2/32 Red-Con MTN v2,0.1719,1900,0.2056,144000,837500
MK Phone Nokia 2.4 MTN v11,0.1614,2050,0.2668,144000,892250
MK Phone Nokia 1.4 Red-Con v15,0.155,2150,0.4023,144000,928750
MK Phone Samsung A03 4/64 MTN v1,0.1501,2250,0.2051,145000,966250
MK Phone Samsung A03 4/64 Red-Con MTN v1,0.1501,2250,0.1984,145000,966250
MK Phone Samsung A02 3/64 MTN v4,0.1473,2300,0.3592,145000,984500
MK Phone Samsung A02 3/64 MTN v6,0.1473,2300,0.2754,145000,984500
MK Phone Samsung A10S MTN v13,0.1473,2300,0.2867,145000,984500
MK Phone Samsung A02S MTN v4,0.142,2400,0.233,145000,1021000
MK Phone Samsung A03 Core 2/32 Red-Con MTN v22,0.2033,1600,0.1576,149000,733000
MK Phone Samsung A03 Core 2/32 MTN v10,0.1936,1700,0.162,149000,769500
MK Phone Samsung A03 Core 2/32 Red-Con MTN v9,0.1936,1700,0.1529,149000,769500
MK Phone Nokia C20 2/16 Conv MTN v16,0.1891,1750,0.1943,149000,787750
MK Phone Nokia C20 2/16 Red-Con MTN v16,0.1891,1750,0.249,149000,787750
MK Phone Samsung A03s 3/32 Red-Con MTN v5 Staff,0.1891,1750,0.0093,149000,787750
MK Phone Nokia C21 Plus 3/32 Red-Con F&F v2,0.1596,2150,0.3132,149000,933750
MK Phone Nokia C21 Plus 2/64 Red-Con F&F v1,0.1565,2200,0.7601,149000,952000
MK Phone Nokia C30 2/32 Red-Con MTN v3,0.1507,2300,0.1887,149000,988500
MK Phone Nokia C30 2/32 Red-Con v2,0.1507,2300,0.2155,149000,988500
MK Phone Nokia C30 2/32 Red-Con v5,0.148,2350,0.2314,149000,1006750
MK +Phone Samsung A12 MTN v10,0.1217,2500,0.1052,149000,1224000
MK +Phone Samsung A12 Red-Con MTN v12,0.1217,2500,0.016,149000,1224000
"M-KOPA +6000 (32"") v1",0.0464,3400,0.0361,149000,3209000
MK Phone Nokia C31 4/64 F&F v1,0.2005,1650,0.1479,151000,753250
MK Phone Samsung A03 Core 2/32 Red-Con Airtel v24,0.2015,1650,0.1592,152000,754250
MK Phone Samsung A03 Core 2/32 MTN v19,0.197,1720,0.1552,154000,781800
MK Phone Samsung A03 Core 2/32 MTN v20,0.197,1720,0.1074,154000,781800
MK Phone Samsung A03 Core 2/32 Red-Con MTN v19,0.197,1720,0.1726,154000,781800
MK Phone Nokia C21 2/32 Conv MTN v14,0.1899,1800,0.1841,154000,811000
MK Phone Nokia C21 2/32 Red-Con MTN v14,0.1899,1800,0.1903,154000,811000
MK Phone Samsung A03 Core 2/32 MTN v17,0.1833,1880,0.1791,154000,840200
MK Phone Samsung A03 Core 2/32 Red-Con MTN v17,0.1833,1880,0.1846,154000,840200
MK Phone Nokia C20 2/16 Red-Con MTN v12,0.1817,1900,0.4892,154000,847500
MK Phone Nokia C30 2/32 Red-Con MTN v6,0.164,2150,0.1944,154000,938750
MK Phone Nokia 2.4 v12,0.1609,2200,0.3271,154000,957000
MK Phone Samsung A03 Core 2/32 Airtel v21,0.1955,1770,0.1073,157000,803050
MK Phone Samsung A03 Core 2/32 Red-Con Airtel v21,0.1955,1770,0.1669,157000,803050
MK Phone Nokia C21 2/32 Conv v15,0.1865,1900,0.2471,159000,852500
MK Phone Nokia C21 2/32 Red-Con MTN v6,0.1865,1900,0.1963,159000,852500
MK Phone Nokia C21 2/32 Red-Con v15,0.1865,1900,0.2077,159000,852500
MK Phone Samsung A03 Core 2/32 Red-Con v18,0.1811,1970,0.062,159000,878050
MK Phone Samsung A03 Core 2/32 MTN v12,0.1789,2000,0.1709,159000,889000
MK Phone Samsung A03 Core 2/32 Red-Con MTN v11,0.1789,2000,0.1854,159000,889000
MK Phone Nokia C21 2/32 Red-Con V3,0.1753,2050,0.2774,159000,907250
MK Phone Nokia C30 2/32 Red-Con MTN v8,0.1685,2150,0.203,159000,943750
MK Phone Nokia G21 4/64 MTN F&F v1,0.1592,2300,0.3038,159000,998500
MK Phone Samsung A10S v7,0.1536,2400,0.006,159000,1035000
MK Phone Samsung A03 4/64 MTN v2,0.1661,2200,0.2057,160000,963000
MK Phone Samsung A03 4/64 Red-Con MTN v3,0.1661,2200,0.1841,160000,963000
MK Phone Samsung A03 3/32 MTN v9,0.1834,2000,0.1756,164000,894000
MK Phone Samsung A03 3/32 Red-Con MTN v8,0.1834,2000,0.1769,164000,894000
MK Phone Nokia C21 2/32 Red-Con V7,0.1798,2050,0.1723,164000,912250
MK Phone Samsung A03s 4/64 Staff MTN v1,0.1762,2100,0.0032,164000,930500
MK Phone Samsung A03 Core 2/32 Red-Con v13,0.1729,2150,0.1599,164000,948750
MK Phone Nokia C30 2/32 Red-Con v7,0.1634,2300,0.2289,164000,1003500
MK Phone Nokia C21 2/32 Conv MTN v12,0.1888,1990,0.2211,169000,895350
MK Phone Nokia C21 2/32 Red-Con MTN v12,0.1888,1990,0.199,169000,895350
